metrica,valor
modelo,ResNet50 Transfer Learning - Fase 1
pesos_pre_treinados,ImageNet
base_convolucional,ResNet50
base_congelada,True
fine_tuning,False
data_augmentation,False
class_weight,False
preprocessamento,resnet50.preprocess_input
tamanho_entrada,224x224x3
batch_size,32
seed,42
optimizer,Adam
learning_rate,0.001
loss,BinaryCrossentropy
epocas_maximas,30
epocas_executadas,17
melhor_epoca,12
melhor_val_loss,0.10669246315956116
parametros_totais,23589761
parametros_treinaveis,2049
parametros_nao_treinaveis,23587712
teste_n,581
teste_loss,0.09011683613061905
teste_accuracy,0.9655765920826161
teste_precision,0.973621103117506
teste_recall,0.9783132530120482
teste_f1,0.9759615384615384
teste_roc_auc_sklearn,0.994324285092176
teste_roc_auc_keras,0.9942881464958191
tn,155
fp,11
fn,9
tp,406
erros_totais,20
